"","ID","Language","Glottocode","Cognate_Set","Form","Concept","Concept_ID","Source","Source_Page","Comment","Macro_Region"
"61",61,"Pu = Puruborá","puru1264","WOMAN-1","pakoja","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"62",62,"Sa = Salamãy","sala1273","WOMAN-3","ßãzet","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"63",63,"Su = Suruí","suru1262","WOMAN-3","ßáɬet","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"64",64,"Ta = Tapirapé","tapi1254","WOMAN-1","kotjɨ","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"65",65,"Tu = Tuparí","tupa1250","WOMAN-2","aɾamiɾã","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"66",66,"Uk = Urubú-Ka’apór","urub1250","WOMAN-1","kũjã","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"67",67,"Wa = Wayoró","wayo1238","WOMAN-2","ãɾãmĩɾã","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"68",68,"Xi = Xipáya","xipa1240","WOMAN-4","siʤa","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"69",69,"Zo = Zoró","zoro1244","WOMAN-3","ßãzet","WOMAN",962,"Galucio et al. 2015",251,NA,"South America"
"70",70,"Ak = Akuntsú","akun1241","LONG-3","peɾek","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"71",71,"Ar = Aruá","arua1261","LONG-2","atíít","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"72",72,"Aw = Awetí","awet1244","LONG-1","puku","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"73",73,"Gv = Gavião","gavi1246","LONG-2","-atóò","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"74",74,"Ju = Jurúna","juru1256","LONG-4","anáúhu ~ anáuhɨhɨ","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"75",75,"Ka = Káro","karo1305","LONG-11","cáɾa-ɾem","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"76",76,"Kt = Karitiána","kari1311","LONG-5","hoɾowa","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"77",77,"Ku = Kuruáya","kuru1309","LONG-7","tabiŋ-ʔõm","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"78",78,"Ma = Makuráp","maku1278","LONG-9","kãɾãŋ","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"79",79,"Me = Mekéns","saki1248","LONG-3","peɾek","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"80",80,"Mu = Mundurukú","mund1330","LONG-2","péɾén ~ béɾén","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"81",81,"Mw = Mawé","sate1243","LONG-6","ʔɨwop","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"82",82,"Pg = Paraguayan Guaraní","para1311","LONG-1","puku","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"83",83,"Pt = Parintintín","tenh1241","LONG-1","puku","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"84",84,"Pu = Puruborá","puru1264","LONG-5","tɨwa","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"85",85,"Sa = Salamãy","sala1273","LONG-2","-ato ~ -atóó","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"86",86,"Su = Suruí","suru1262","LONG-2","-ató-a","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"87",87,"Ta = Tapirapé","tapi1254","LONG-1","poko","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"88",88,"Tu = Tuparí","tupa1250","LONG-10","tããn","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"89",89,"Uk = Urubú-Ka’apór","urub1250","LONG-1","puku","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"90",90,"Wa = Wayoró","wayo1238","LONG-8","kãm","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"91",91,"Xi = Xipáya","xipa1240","LONG-4","nauhu","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
"92",92,"Zo = Zoró","zoro1244","LONG-2","-atóò","LONG",1203,"Galucio et al. 2015",251,NA,"South America"
